time,close,Volume
2022-12-01,48.4,NaN
2023-01-01,47.4,NaN
2023-02-01,47.7,NaN
2023-03-01,46.3,NaN
2023-04-01,47.1,NaN
2023-05-01,46.9,NaN
2023-06-01,46,NaN
2023-07-01,46.4,NaN
2023-08-01,47.6,NaN
2023-09-01,49,NaN
2023-10-01,46.7,NaN
2023-11-01,46.6,NaN
2023-12-01,47.1,NaN
2024-01-01,49.1,NaN
2024-02-01,47.8,NaN
2024-03-01,50.3,NaN
2024-04-01,49.2,NaN
2024-05-01,48.7,NaN
2024-06-01,48.5,NaN
2024-07-01,46.8,NaN
2024-08-01,47.2,NaN
2024-09-01,47.2,NaN
2024-10-01,46.5,NaN
2024-11-01,48.4,NaN
2024-12-01,49.2,NaN
2025-01-01,50.9,NaN
2025-02-01,50.3,NaN
2025-03-01,49,NaN
2025-04-01,48.7,NaN
